index,verbatimScientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,basisOfRecord,institutionCode
19805,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19806,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686639,-103.7682,2010-05-10,HUMAN_OBSERVATION,ENCB-IPN
19807,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688836,-103.750267,2011-04-17,HUMAN_OBSERVATION,ENCB-IPN
19808,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.674186,-103.785889,2011-04-18,HUMAN_OBSERVATION,ENCB-IPN
19809,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.633244,-103.774056,2009-05-12,HUMAN_OBSERVATION,ENCB-IPN
19810,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.762614,-103.786992,2011-11-02,HUMAN_OBSERVATION,ENCB-IPN
19811,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.75905,-103.783922,2005-10-14,HUMAN_OBSERVATION,ENCB-IPN
19812,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19813,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.698633,-103.748419,2005-03-09,HUMAN_OBSERVATION,ENCB-IPN
19814,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.716886,-103.750119,2011-10-28,HUMAN_OBSERVATION,ENCB-IPN
19815,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19816,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19817,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688836,-103.750267,2011-04-17,HUMAN_OBSERVATION,ENCB-IPN
